run,path,tileSize,resolution,width,height,frames,warmup,threadsPerThreadgroup,maxThreadsPerThreadgroup,threadExecutionWidth,threadgroupMemBytes,occupancyRatioThreadsOverMax,gpuMsAvg,gpuMsP95,gpuMsMax,fpsAvg,fpsMin,cpuEncodeMsAvg,stepsAvg,note,log
3,fragment,NA,1620p,2880,1620,180,120,NA,NA,NA,NA,,50.800,56.960,61.090,19.685,16.369,0.120,29.000,fragment has no threadgroup size,/Users/halopend/Threshold/MetalRaymarch-main/BenchmarkResults/desktop-threadgroup-highres-2026-07-09/logs/fragment_1620p_run3.log
1,fragment,NA,1800p,3200,1800,180,120,NA,NA,NA,NA,,63.810,68.980,72.850,15.672,13.727,0.120,29.000,fragment has no threadgroup size,/Users/halopend/Threshold/MetalRaymarch-main/BenchmarkResults/desktop-threadgroup-highres-2026-07-09/logs/fragment_1800p_run1.log
2,fragment,NA,1800p,3200,1800,180,120,NA,NA,NA,NA,,58.710,62.020,63.920,17.033,15.645,0.130,29.000,fragment has no threadgroup size,/Users/halopend/Threshold/MetalRaymarch-main/BenchmarkResults/desktop-threadgroup-highres-2026-07-09/logs/fragment_1800p_run2.log
3,fragment,NA,1800p,3200,1800,180,120,NA,NA,NA,NA,,60.480,64.840,71.140,16.534,14.057,0.130,29.000,fragment has no threadgroup size,/Users/halopend/Threshold/MetalRaymarch-main/BenchmarkResults/desktop-threadgroup-highres-2026-07-09/logs/fragment_1800p_run3.log
1,fragment,NA,2160p,3840,2160,180,120,NA,NA,NA,NA,,82.350,86.870,93.170,12.143,10.733,0.130,29.000,fragment has no threadgroup size,/Users/halopend/Threshold/MetalRaymarch-main/BenchmarkResults/desktop-threadgroup-highres-2026-07-09/logs/fragment_2160p_run1.log
2,fragment,NA,2160p,3840,2160,180,120,NA,NA,NA,NA,,79.390,82.380,83.580,12.596,11.965,0.120,29.000,fragment has no threadgroup size,/Users/halopend/Threshold/MetalRaymarch-main/BenchmarkResults/desktop-threadgroup-highres-2026-07-09/logs/fragment_2160p_run2.log
3,fragment,NA,2160p,3840,2160,180,120,NA,NA,NA,NA,,82.700,90.240,94.620,12.092,10.569,0.130,29.000,fragment has no threadgroup size,/Users/halopend/Threshold/MetalRaymarch-main/BenchmarkResults/desktop-threadgroup-highres-2026-07-09/logs/fragment_2160p_run3.log
1,fragment,NA,2880p,5120,2880,180,120,NA,NA,NA,NA,,139.190,166.020,182.410,7.184,5.482,0.150,29.000,fragment has no threadgroup size,/Users/halopend/Threshold/MetalRaymarch-main/BenchmarkResults/desktop-threadgroup-highres-2026-07-09/logs/fragment_2880p_run1.log
2,fragment,NA,2880p,5120,2880,180,120,NA,NA,NA,NA,,143.650,167.520,184.410,6.961,5.423,0.180,29.000,fragment has no threadgroup size,/Users/halopend/Threshold/MetalRaymarch-main/BenchmarkResults/desktop-threadgroup-highres-2026-07-09/logs/fragment_2880p_run2.log
3,fragment,NA,2880p,5120,2880,180,120,NA,NA,NA,NA,,137.080,141.350,144.630,7.295,6.914,0.130,29.000,fragment has no threadgroup size,/Users/halopend/Threshold/MetalRaymarch-main/BenchmarkResults/desktop-threadgroup-highres-2026-07-09/logs/fragment_2880p_run3.log
