timestamp,gitSHA,gitState,tag,kernel,fractal,iterations,maxThreadsPerThreadgroup,threadExecutionWidth,threadgroupMemBytes
2026-07-08T18:11:09Z,unknown,clean,computeFC-fix-2026-07-08,adaptiveHierarchical8x8-fcUndefined,QuaternionJulia,12,448,32,32
2026-07-08T18:11:09Z,unknown,clean,computeFC-fix-2026-07-08,adaptiveHierarchical8x8-fcBakedOff,QuaternionJulia,12,768,32,32
2026-07-08T18:11:09Z,unknown,clean,computeFC-fix-2026-07-08,adaptiveHierarchical8x8-fcUndefined,Octahedron,12,384,32,32
2026-07-08T18:11:09Z,unknown,clean,computeFC-fix-2026-07-08,adaptiveHierarchical8x8-fcBakedOff,Octahedron,12,832,32,32
2026-07-08T18:11:09Z,unknown,clean,computeFC-fix-2026-07-08,adaptiveHierarchical8x8-fcUndefined,MengerSphere,12,384,32,32
2026-07-08T18:11:09Z,unknown,clean,computeFC-fix-2026-07-08,adaptiveHierarchical8x8-fcBakedOff,MengerSphere,12,768,32,32
2026-07-08T18:11:09Z,unknown,clean,computeFC-fix-2026-07-08,adaptiveHierarchical8x8-fcUndefined,TheliPseudoKleinian,12,384,32,32
2026-07-08T18:11:09Z,unknown,clean,computeFC-fix-2026-07-08,adaptiveHierarchical8x8-fcBakedOff,TheliPseudoKleinian,12,704,32,32
2026-07-08T18:11:09Z,unknown,clean,computeFC-fix-2026-07-08,adaptiveHierarchical8x8-fcUndefined,Kleinian,12,384,32,32
2026-07-08T18:11:09Z,unknown,clean,computeFC-fix-2026-07-08,adaptiveHierarchical8x8-fcBakedOff,Kleinian,12,768,32,32
2026-07-08T18:11:09Z,unknown,clean,computeFC-fix-2026-07-08,coneCoarsePrepass8x8,Mandelbox,6,1024,32,0
2026-07-08T18:11:09Z,unknown,clean,computeFC-fix-2026-07-08,coneCoarsePrepass8x8,Mandelbulb,6,1024,32,0
2026-07-08T18:11:09Z,unknown,clean,computeFC-fix-2026-07-08,coneCoarsePrepass8x8,Menger,6,1024,32,0
2026-07-08T18:11:09Z,unknown,clean,computeFC-fix-2026-07-08,coneCoarsePrepass8x8,MandelbulbJulia,6,1024,32,0
2026-07-08T18:11:09Z,unknown,clean,computeFC-fix-2026-07-08,coneCoarsePrepass8x8,QuaternionJulia,6,1024,32,0
2026-07-08T18:11:09Z,unknown,clean,computeFC-fix-2026-07-08,coneCoarsePrepass8x8,Octahedron,6,1024,32,0
2026-07-08T18:11:09Z,unknown,clean,computeFC-fix-2026-07-08,coneCoarsePrepass8x8,MengerSphere,6,1024,32,0
2026-07-08T18:11:09Z,unknown,clean,computeFC-fix-2026-07-08,coneCoarsePrepass8x8,TheliPseudoKleinian,6,1024,32,0
2026-07-08T18:11:09Z,unknown,clean,computeFC-fix-2026-07-08,coneCoarsePrepass8x8,Kleinian,6,1024,32,0
2026-07-08T18:11:09Z,unknown,clean,computeFC-fix-2026-07-08,coneCoarsePrepass8x8,Mandelbox,12,1024,32,0
2026-07-08T18:11:09Z,unknown,clean,computeFC-fix-2026-07-08,coneCoarsePrepass8x8,Mandelbulb,12,1024,32,0
2026-07-08T18:11:09Z,unknown,clean,computeFC-fix-2026-07-08,coneCoarsePrepass8x8,Menger,12,1024,32,0
2026-07-08T18:11:09Z,unknown,clean,computeFC-fix-2026-07-08,coneCoarsePrepass8x8,MandelbulbJulia,12,1024,32,0
2026-07-08T18:11:09Z,unknown,clean,computeFC-fix-2026-07-08,coneCoarsePrepass8x8,QuaternionJulia,12,1024,32,0
2026-07-08T18:11:09Z,unknown,clean,computeFC-fix-2026-07-08,coneCoarsePrepass8x8,Octahedron,12,1024,32,0
2026-07-08T18:11:09Z,unknown,clean,computeFC-fix-2026-07-08,coneCoarsePrepass8x8,MengerSphere,12,1024,32,0
2026-07-08T18:11:09Z,unknown,clean,computeFC-fix-2026-07-08,coneCoarsePrepass8x8,TheliPseudoKleinian,12,1024,32,0
2026-07-08T18:11:09Z,unknown,clean,computeFC-fix-2026-07-08,coneCoarsePrepass8x8,Kleinian,12,1024,32,0
